"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
"LAST UPDATE: 2:30 A.M. JANUARY 23, 2026",
TOTAL COUNT: 1004,
1,"112 Eatery - Minneapolis, MN"
2,"19 Bar - Minneapolis, MN"
3,"190 (degree) Coffe & Tea - Duluth, MN"
4,"331 Club - Minneapolis, MN"
5,"56 Brewing - Minneapolis, MN"
6,"612 Jungle - Minneapolis, MN"
7,"612 Sauna Cooperative - Minneapolis, MN"
8,"620 Club - St. Paul, MN"
9,"A-Side Public House - St. Paul, MN"
10,"Abogados Café - St. Paul, MN"
11,"Afternoon Printing - Minneapolis, MN"
12,"Agharta Records - St. Paul, MN"
13,"Al's Breakfast - Minneapolis, MN"
14,"Alborada Market - Minneapolis, MN"
15,"Ale Jail - St. Paul, MN"
16,"All's Well Sauna - Minneapolis, MN"
17,"Allison's Addicts Boutique - Elk River, MN"
18,"Amazing Alonzo Bookstore - Duluth, MN"
19,Amazing Thailand - Minneapolis
20,"Amazing Threads - Maple Grove, MN"
21,"American Swedish Institute - Minneapolis, MN"
22,"Amity Coffee - Duluth, MN"
23,"Anchor Fish & Chips - Minneapolis, MN"
24,Angry Catfish Bicycle and Coffee
25,Angry Line Cook (Food Truck)
26,"Angry Trout Cafe - Grand Marais, MN"
27,"Animales Barbeque Co. - Minneapolis, MN"
28,"Annabelle House - Osseo, MN"
29,"Another Green World - La Crosse, WI"
30,"Arbeiter Brewing (Closed from 12–5 p.m.) - Minneapolis, MN"
31,"Arroy - Thai & Filipino Restaurant - St. Cloud, MN"
32,"Arte House Studios - Minneapolis, MN"
33,"ArtStart / ArtScraps - St. Paul, MN"
34,"Asa's Bakery - Minneapolis, MN"
35,"Asian Duck Cafe - Minneapolis, MN"
36,"Atlas Games (offices & warehouse closed, no orders shipping, compensating employees for the day) - Proctor, MN"
37,"Atomic Polish - Minneapolis, MN"
38,"Atuvava Bakery - Minneapolis, MN"
39,"Aurora Cannabis - Prior Lake, MN"
40,"Avant Garden Bookstore - Anoka, MN"
41,"b resale - Minneapolis, MN"
